,2020,2021,2022
ANA,26,"26,212121","25,947368"
ARI,"26,68","26,032258","26,157895"
BOS,"26,257143","26,444444","27,30303"
BUF,"25,8125","25,69697","24,941176"
CAR,"25,481481","25,928571","26,344828"
CBJ,"24,848485","26,090909","24,8125"
CGY,"26,714286","26,655172","27,821429"
CHI,"25,354839","25,058824","24,945946"
COL,"25,741935","26,114286","26,371429"
DAL,"27,333333","27,461538","27,724138"
DET,"26,735294",27,"26,205882"
EDM,"26,419355","26,714286","27,515152"
FLA,"26,5","25,909091","26,828571"
LAK,"26,03125","24,6875","25,333333"
MIN,"27,296296",28,"26,676471"
MTL,"26,382353","27,068966","26,225"
NJD,"25,4375","24,46875","24,117647"
NSH,"27,37931","26,457143","26,233333"
NYI,"27,214286","28,107143",29
NYR,"24,851852","24,5","25,84375"
OTT,"25,216216","25,243243","25,368421"
PHI,"25,903226","25,454545","26,512821"
PIT,"27,323529","27,375","27,645161"
SEA,0,0,"26,857143"
SJS,"26,617647","26,054054","25,685714"
STL,"26,741935","26,933333","27,387097"
TBL,"27,034483","26,714286","27,533333"
TOR,"25,090909",27,"27,029412"
TOT,"27,553846","27,448276","27,153846"
VAN,"26,655172","26,057143","26,636364"
VEG,"26,933333","26,961538","25,944444"
WPG,"25,90625","26,555556","25,885714"
WSH,"27,62963","28,862069","27,771429"
,,,
,,,
Average Age,"26,36122","26,398058","26,464716"
Max Age,42,43,44
